sample	condition
sample_M67	F_14
sample_M67	F_14
sample_M68	F_6
sample_M68	F_6
sample_M68	F_6
sample_M69	F_6
sample_M69	F_6
sample_M69	F_6
sample_M7	F_2
sample_M7	F_2
sample_M7	F_2
sample_M70	F_7
sample_M70	F_7
sample_M70	F_7
sample_M71	C_7
sample_M71	C_7
sample_M71	C_7
sample_M73	F_11
sample_M73	F_11
sample_M73	F_11
sample_M75	F_21
sample_M75	F_21
sample_M75	F_21
sample_M76	C_21
sample_M76	C_21
sample_M76	C_21
sample_M77	R_3
sample_M77	R_3
sample_M77	R_3
sample_M78	R_3
sample_M78	R_3
sample_M78	R_3
sample_M79	R_7
sample_M79	R_7
sample_M79	R_7
sample_M8	C_7
sample_M8	C_7
sample_M8	C_7
sample_M80	C_14
sample_M80	C_14
sample_M80	C_14
sample_M81	R_14
sample_M81	R_14
sample_M81	R_14
sample_M82	R_14
sample_M82	R_14
sample_M82	R_14
sample_M83	R_1
sample_M83	R_1
sample_M83	R_1
sample_M84	R_7
sample_M84	R_7
sample_M84	R_7
sample_M85	R_7
sample_M85	R_7
sample_M85	R_7
sample_M86	C_14
sample_M86	C_14
sample_M86	C_14
sample_M87	R_14
sample_M87	R_14
sample_M87	R_14
sample_M88	R_1
sample_M88	R_1
sample_M88	R_1
sample_M89	R_3
sample_M89	R_3
sample_M89	R_3
sample_M9	F_21
sample_M9	F_21
sample_M9	F_21
sample_M90	C_14
sample_M90	C_14
sample_M90	C_14
sample_M91	R_1
sample_M91	R_1
sample_M91	R_1
sample_M93	R_1
sample_M93	R_1
sample_M93	R_1
sample_M94	C_14
sample_M94	C_14
sample_M94	C_14
sample_M95	R_7
sample_M95	R_7
sample_M95	R_7
